term,no_context,basic_context,no_context_percentile,basic_context_percentile
class function,0.8965523041595503,0.9501487819552721,3.75,14.374999999999998
class functions,0.9029153016459481,0.9515962082469189,7.34375,17.65625
classes,,,,
closed,,,,
closed edge path,0.959566718120091,0.9671020240572726,83.28125,75.3125
closed half-space,0.9623607284787274,0.9694027984888631,86.71875,81.09375
closed subgroup,0.9100803886207256,0.9571494817243629,12.968750000000002,34.375
closure,,,,
comaximal ring ideals,0.9525190062830937,0.9584337371053779,75.78125,38.90625
comeager,,,,
commutative,,,,
commutator subgroup,0.9317990788523247,0.9615231845922101,38.125,52.96875
compact,,,,
compact Lie group,0.9004293470027226,0.9613007501308758,5.625,51.5625
compact linear transformation,0.944429873060423,0.9517284130169169,61.875,18.125
compact support,0.9007836916355826,0.9561722593238341,6.25,31.093749999999996
compact symplectic group,0.9449662744994931,0.9627714863953729,62.81250000000001,58.90625000000001
compactly closed,0.9427235173811483,0.965628445001595,58.12500000000001,70.3125
complemented lattice,0.9399853499169752,0.9485814386177664,52.03124999999999,11.71875
complete,,,,
complete metric space,0.9517360241367872,0.9782008148404944,74.375,95.625
complete reducibility,0.9472580035330102,0.9645926904141011,66.40625,66.40625
complex,,,,
complex absolute value,0.9582603002039288,0.9688228549955529,82.8125,79.84375
complex conjugate,0.9401630536563207,0.9557558344831811,52.5,28.90625
complex conjugates,0.9442554913023276,0.9618396685113958,61.5625,54.84375
complex differentiability,0.9367939978917785,0.9615672745679845,46.71875,53.43750000000001
complex exponential,0.9402574478939884,0.9559489430450495,52.81249999999999,29.843750000000004
complex integral,0.9087899844237339,0.9499615647277616,11.71875,13.750000000000002
complex Lie group,0.9169078680471643,0.9568897173161639,19.84375,33.59375
complex line integral,0.944859571443543,0.953028938229272,62.5,21.09375
complex number,0.8912513774940054,0.9635746362764861,2.65625,63.28125
complex numbers,0.9035727946690106,0.9666238353340537,7.968749999999999,73.75
complex orthogonal group,0.9414607126977775,0.9662271046426139,55.3125,72.8125
complex symplectic group,0.9564054893455214,0.9704403078931063,80.3125,83.28125
complexification of a vector space,0.9490926966711051,0.9661875383187626,69.21875,72.1875
component function,0.9335295650437333,0.9574629577397803,41.5625,35.46875
component functions,0.9306137043447579,0.9539813332608336,35.9375,23.90625
component interval,0.9189173611723771,0.9487329056478407,21.875,12.03125
component intervals,0.9357532708740399,0.9579928370993265,45.0,37.1875
composite field extension,0.9638473092566604,0.9564136170708583,88.75,32.03125
composition series,0.9281989680787475,0.9535910318393315,32.96875,22.34375
composition series of a group,0.9657469321053838,0.9662053811270677,90.0,72.5
composition series of a module,0.9623396669481151,0.9577491913328959,86.5625,36.5625
conjugacy classes,0.9320993356668956,0.9645028680344826,39.0625,66.09375
conjugate,,,,
conjugate subgroups,0.9424722388924063,0.9597671939441527,57.49999999999999,43.59375
conjugate transpose,0.9614105212629167,0.9661908679080975,85.625,72.34375
conjugation,,,,
connected,,,,
connected component,0.9520295417586637,0.9726646194071513,75.3125,87.65625
connected components,0.957921490675657,0.9747042946440111,82.34375,91.40625
connected graph,0.9387521902482674,0.9546780356950982,49.6875,26.25
consistent,,,,
continuous,,,,
continuous group representation,0.9505679527844157,0.9619897620158651,71.875,55.46875
continuously,,,,
continuously differentiable,0.9473074885342708,0.9658887650976765,66.5625,71.25
contractible,,,,
contracting sequence of sets in a metric space,0.9891732969973368,0.9902234033249171,99.6875,99.21875
contraction mapping,0.9204694196397145,0.9540421717626737,23.4375,24.21875
convergence in measure,0.9213173939059436,0.9501580557601781,24.375,14.531250000000002
convergent,,,,
converges,,,,
converges uniformly,0.936935239709072,0.9579664423493798,46.875,36.875
converging,,,,
convex set,0.9214318918796288,0.9551432000605511,24.6875,26.875
coprime,,,,
corresponding matrix,0.9351981332868253,0.9410186710091482,44.0625,2.8125
cosets,,,,
countable,,,,
critical point,0.9147544180354694,0.9656858403904491,17.96875,70.78125
critical value,0.9004428404925934,0.9633401308457871,5.78125,61.875
cycle,,,,
cycle type,0.877804794887818,0.9546208368468405,1.25,25.937500000000004
cycles,,,,
cyclic cyclic,0.982875336837586,0.9792109148638152,98.59375,96.09375
cyclic group,0.9007240863314158,0.9517345805168749,6.09375,18.28125
cyclic groups,0.9201492992757319,0.9536152345221195,23.28125,22.5
cyclotomic field,0.9349602462455211,0.9668072672556172,43.59375,74.375
cyclotomic polynomial,0.9275410459580739,0.9529117873039629,31.874999999999996,20.625
degree,,,,
degree of field extension,0.9429185131406774,0.9572030582139729,58.75,34.84375
degree of polynomial,0.9260312276469802,0.953927538151716,29.531249999999996,23.75
dense,,,,
derivation,,,,
derivatives,,,,
derived algebras,0.9058644410247275,0.9366136620374323,9.21875,1.5625
derived series,0.8870792257171847,0.9412868743197715,1.875,3.4375000000000004
derived series of a group,0.9600242100576406,0.9663003355364927,84.0625,72.96875
derived series of a Lie algebra,0.9637058145495331,0.9640395517449762,88.4375,64.6875
derived subgroups,0.9403943865808282,0.9558340414898933,53.125,29.375
descending central series,0.9525831633426948,0.9608048569495368,76.09375,48.75
descending sequence,0.9450005036056527,0.9579794284761884,63.125,37.03125
determinant,,,,
determinants,,,,
determined,,,,
diameter,,,,
diameter of a set,0.9220918332428663,0.9609494836318131,25.46875,49.84375
diameters,,,,
diamter,,,,
diffeomorphism,,,,
difference quotient,0.9489495411530605,0.9519967400793876,68.59375,18.75
differentiability in closed half-space,0.9609178897665946,0.9690482231285065,85.3125,80.46875
differentiable,,,,
differential basis,0.9127146844790123,0.9534603034789404,16.09375,21.875
differential k-form,0.9364159644298793,0.9512182815214973,45.9375,17.1875
differential operators,0.9194121831683817,0.9596889650694455,22.5,43.125
dimension,,,,
dimension of dimension,0.9726672027173507,0.9770626743455053,94.84375,94.375
dimension of group representation,0.9578478282734924,0.9629439573205982,82.1875,59.84374999999999
dimension of vector space,0.9398206096279338,0.9605681030770441,51.40625,47.65625
dimensional,,,,
direct sum,0.9195981991406375,0.9609401155280579,22.8125,49.6875
direct sum decomposition of a Lie algebra,0.9843322324699092,0.9782210722675674,99.0625,95.78125
direct sum of group representations,0.9726371910063996,0.973941380139871,94.6875,90.46875
direct sum of Lie algebras,0.9732587620019225,0.9705190241790844,95.46875,83.4375
direct sum of module homomorphisms,0.9702897930131082,0.9721157100323041,92.65625,86.5625
direct sum of modules,0.9539925725623534,0.9671771304108611,77.5,75.78125
direct sum of vector spaces,0.9506252186926692,0.9646236302832101,72.34375,66.71875
directional derivative,0.9307015399065754,0.9563773819912468,36.09375,31.874999999999996
discrete category,0.9305386890333673,0.965474338140574,35.78125,69.84375
discrete topology,0.9509432244139274,0.9627734923739497,73.125,59.06249999999999
discriminant,,,,
distance from a point to a set,0.9385697892970892,0.9718551194498128,49.53125,86.25
distributed lattice,0.9633470452458182,0.9583069514180685,87.96875,38.4375
distributive,,,,
distributivity,,,,
divides,,,,
divisible,,,,
divisible group,0.9357500625704946,0.9708071699370219,44.84375,83.90625
division algebra,0.9101888393650194,0.9555379443791915,13.125,27.8125
division in a ring,0.9345417433467547,0.9681700498130535,42.96875,78.4375
division ring,0.9183477070830968,0.9533299352546601,20.9375,21.40625
dual,,,,
dual representation of a Lie algebra,0.9757416490463271,0.9675916746626105,96.09375,76.875
dual space,0.9116059466208669,0.9604084835101108,15.0,46.71875
edge path,0.9212434067176732,0.9637101450344292,24.0625,63.59375000000001
edge paths,0.9237842288226605,0.9637673661659025,27.65625,63.74999999999999
eigenvalue,,,,
eigenvector,,,,
elementary abelian p-group,0.9633680890073915,0.9652886350485431,88.125,69.53125
elementary matrix,0.9048348203190418,0.9443638461844157,8.75,5.9375
elementary symmetric polynomials,0.9585595390822302,0.9669589320301363,83.125,74.84375
embedded m-dimensional manifold,0.9661114204665927,0.9690276963646726,90.625,80.3125
embedded m-dimensional manifold with boundary,0.9839839536607535,0.9766748414992891,98.75,94.0625
embedding,,,,
endomorphism,,,,
endomorphisms,,,,
entire,,,,
epimorphism,,,,
equivalence class,0.9265492137303466,0.9608299565833842,30.312499999999996,49.0625
equivalence classes,0.9251422447285936,0.9627656647097252,28.125,58.75
equivalence relation,0.9376563121996269,0.9639029887626687,48.28125,64.21875
equivalence relations,0.9453775737923835,0.9648937967781708,63.59375000000001,68.59375
equivalent absolute values,0.9641481540641912,0.9739295903591888,88.90625,90.15625
equivalent group representations,0.9415469772826236,0.9590698818717323,55.46875,40.9375
equivalent metrics,0.9499133734454994,0.9567013086169341,70.46875,33.28125
equivariant map,0.9408866922191512,0.9615610867485416,54.0625,53.28125
essential infimum,0.9568616050276423,0.9713278193734469,81.40625,85.15625
essential supremum,0.9527729746949012,0.9667259577841641,76.40625,74.0625
