term,no_context,basic_context,no_context_percentile,basic_context_percentile
local parametrization,0.9436691548753475,0.9660131960213525,60.46875000000001,71.875
locally compact,0.9455056075310597,0.9618908443242817,63.90625,55.15624999999999
locally compact group,0.9294741463705136,0.957740922183474,34.375,36.40625
locally constant,0.9476277474770131,0.9602433271470845,67.03125,45.15625
locally finite,0.9412460993473104,0.9730760121381136,54.6875,88.90625
locally finite cover,0.9642327139011814,0.971200422082058,89.0625,85.0
locally finite graph,0.9619429523571985,0.9653925457603092,86.40625,69.6875
locally finite measure,0.9573902446216537,0.9596637666205383,81.5625,42.8125
locally monotonic,0.9449967482755488,0.9615768774015523,62.96874999999999,53.59374999999999
locally path-connected,0.9618084689770318,0.9729932197082265,86.09375,88.75
logarithm,,,,
logarithmic derivative,0.9160541232704142,0.9326920967521846,18.90625,0.625
loop,,,,
loops,,,,
Lorentz group,0.914171479164575,0.9598732856094179,17.5,44.21875
lower bound,0.9104688631037612,0.9588760451191347,13.28125,40.3125
lower bounds,0.9413969429919655,0.9635208157793089,55.00000000000001,62.81250000000001
lower central series,0.9558586342590629,0.9682174638544232,79.6875,78.59375
lower integral,0.9145128252392882,0.9464607770193083,17.65625,9.375
lower sum,0.9095203722072205,0.9623497073434083,12.65625,57.34375000000001
Lp space,0.9051971281844012,0.9626676067387503,8.90625,58.12500000000001
Lusin function,0.9356267092732692,0.9566685339272106,44.6875,33.125
m-form,,,,
magma,,,,
magmas,,,,
manifold,,,,
manifold with boundary,0.9350630448002824,0.959620562257405,43.90625,42.34375
matrices,,,,
matrix,,,,
matrix corresponding,0.931877446062668,0.943385908825264,38.4375,4.375
matrix exponential,0.9255756276469687,0.9412406570435052,28.90625,3.28125
matrix Lie group,0.9090522502181717,0.9464583315775699,12.03125,9.21875
matrix logarithm,0.9043063274837729,0.9359986411683923,8.4375,1.40625
matrix multiplication,0.9137426562834323,0.9467726273558341,17.03125,9.84375
matrix transpose,0.9317968238016698,0.9481240973552311,37.96875,11.09375
maximal ring ideal,0.9548475527463449,0.9703714615007827,78.75,82.96875
maximal subgroup,0.9407603776468474,0.9632912341609672,53.90625,61.5625
maximal subgroups,0.9435636659356029,0.9650153099368817,60.0,69.0625
maximal subtree,0.9403826425549106,0.9560585555627676,52.96875,30.625000000000004
meager,,,,
mean value property,0.9508726263986905,0.9618637608457485,72.8125,55.00000000000001
measurable,,,,
measurable function,0.9375937811140218,0.9650386711998356,48.125,69.21875
measurable hull,0.9483374373288492,0.9574317038851987,67.65625,35.3125
measurable space,0.9281542895352244,0.968895851833848,32.8125,80.0
measurable spaces,0.9453682923911022,0.9672851749422358,63.4375,76.25
measure,,,,
measure space,0.9214096841043682,0.9603259868149308,24.53125,46.40625
measure spaces,0.9448280246700902,0.9609801610922948,62.34375,50.0
measure zero,0.9086212240600674,0.9425532119195923,11.40625,3.90625
measures,,,,
meromorphic,,,,
mesh,,,,
metric,,,,
metric completion,0.9287615060233594,0.9581333233462439,33.4375,37.96875
metric space,0.9267238652185938,0.9763414879838686,30.625000000000004,93.28125
metric spaces,0.9398265939197117,0.9760043205608213,51.5625,92.96875
metrics,,,,
minimal polynomial,0.9217108842388725,0.9543913397703222,25.0,25.3125
minor,,,,
model,,,,
module,,,,
module homomorphism,0.9468349836959913,0.9613774594361105,65.9375,52.03124999999999
module over a Lie algebra,0.9625657224163473,0.9729193964816432,87.03125,88.4375
module over a ring,0.9343313020388143,0.9608805037966861,42.34375,49.375
modules,,,,
monic,,,,
monoid,,,,
monoids,,,,
monomorphism,,,,
morphism,,,,
morphism of group representations,0.9697256998299577,0.9749378972067355,92.03125,91.875
multilinear,,,,
multiplicative,,,,
multiplicative character,0.9429603779729436,0.9616967696183405,58.90625000000001,54.0625
multiplicative inverse,0.9551157363462789,0.9485319149536101,79.21875,11.5625
multiplicative norm,0.9329686825144341,0.9449847972231747,40.625,6.875000000000001
multiplicity of simple module in semisimple module,0.9962294426649108,0.997544108771648,99.84375,99.84375
n-simplex,,,,
negative variation,0.9272182595977884,0.94498697835723,31.406250000000004,7.03125
neighborhood,,,,
nilpotent,,,,
nilpotent group,0.9256014779060018,0.9608564737093047,29.062500000000004,49.21875
nilpotent Lie algebra,0.933790206633158,0.9524442109241537,42.03125,19.53125
Noetherian,,,,
Noetherian module,0.9464178873889801,0.9624271232574437,65.78125,57.65625
Noetherian ring,0.9159319587523097,0.9622857210445651,18.75,57.03125
non-Archimedean,,,,
non-Archimedean absolute value,0.9725124297624295,0.974052532297502,94.53125,90.625
nonmeager,,,,
norm,,,,
normal,,,,
normal extension,0.9156512983513871,0.9453703448385973,18.4375,7.5
normal series,0.9010199170165338,0.9552375626056951,6.5625,27.187499999999996
normal subgroup,0.9059580846303462,0.9541855536728703,9.375,24.375
normal subgroups,0.9098664775102842,0.9578409973056475,12.812499999999998,36.71875
normal-form game,0.9262338262715577,0.9443781203758209,29.843750000000004,6.09375
normalizer,,,,
normalizer of a group,0.955594613873134,0.9634740233850433,79.53125,62.65625
normed linear space,0.945861309160218,0.9619295889515881,64.84375,55.3125
nowhere dense,0.9301632328928346,0.9716710712199723,35.3125,86.09375
nullity,,,,
open,,,,
open cover,0.9091601185426734,0.9709386076010653,12.5,84.375
open simplex,0.9388540958338243,0.9715565573167915,50.0,85.78125
operation,,,,
opposite category,0.9318310814532642,0.9759928847049031,38.28125,92.8125
opposite topology,0.9387835599287957,0.9621507325871411,49.84375,56.71874999999999
orbit,,,,
orbits,,,,
order,,,,
order of a group,0.9212485990055674,0.962742934801278,24.21875,58.4375
order of a group element,0.9389480817651784,0.9655934003182777,50.31250000000001,70.0
orders,,,,
ordinal number,0.9345025691188182,0.9714402014593656,42.8125,85.625
ordinary generating function,0.9560306853912199,0.9647051835352439,80.0,67.1875
orientable,,,,
orientation,,,,
orientation-preserving,,,,
oriented edge,0.9333989563597107,0.9657603823145724,41.40625,71.09375
oriented edges,0.9579305917002472,0.9699400888084027,82.5,82.5
oriented manifold,0.9424540398597344,0.955516654297658,57.34375000000001,27.65625
orthogonal,,,,
orthogonal complement,0.9329941676139513,0.9503937164546719,40.78125,15.156249999999998
orthogonal group,0.9091173338846718,0.9615907226178417,12.1875,53.90625
orthogonal matrices,0.9506103759737007,0.9588646842465294,72.1875,40.0
orthogonal matrix,0.9421944283477941,0.9522985635246484,56.875,19.375
orthonormal,,,,
orthonormal basis,0.9299064149616237,0.9606449084975535,35.0,47.8125
orthonormal sequence,0.9429641780086808,0.9632053178938326,59.06249999999999,60.9375
outer derivation,0.943255331596227,0.9534960480427229,59.68750000000001,22.03125
outer measure,0.9113407302348668,0.9371456455633538,14.6875,1.7187500000000002
outer regular,0.9566733516537266,0.9577107519915224,80.78125,36.25
outward pointing,0.9430424797392263,0.9663935988865807,59.21875,73.28125
p-adic integers,0.9496002281140175,0.9597880498202402,70.0,43.75
p-group,,,,
p-norm,,,,
p-primary component of an abelian group,0.9840594011113688,0.9852518138132681,98.90625,98.4375
p-subgroup,,,,
paradoxical set,0.9074640045512015,0.9598038188886383,10.625,43.90625
partial derivative,0.9084888352160956,0.962317570484307,11.09375,57.1875
partial derivatives,0.9185633122979058,0.9687895092837779,21.25,79.6875
partial order,0.9035890756811968,0.972251773301342,8.125,86.875
partially ordered set,0.9294381318985638,0.9736933638711868,34.21875,89.6875
partition,,,,
partition of a rectangle,0.9411586936232881,0.9604805317894936,54.21875000000001,47.1875
partition of a set,0.9232003641527318,0.9607357322673469,27.187499999999996,48.28125
partition of an integer,0.9269161416692973,0.9614544792055293,31.093749999999996,52.81249999999999
partition of unity,0.9371185446479136,0.970963962086603,47.03125,84.53125
partitions,,,,
path,,,,
path-connected,,,,
payoff function,0.9287318433833583,0.9440853077290307,33.28125,5.3125
perfect field,0.8881620493132178,0.9602942339629066,2.03125,45.9375
perfect information,0.7933045065305786,0.9539088293229689,0.0,23.59375
perfect set,0.8456396718906928,0.9562066684779985,0.15625,31.406250000000004
permutation,,,,
permutations,,,,
pointwise limit,0.9412287538536053,0.9483024311219626,54.53125,11.25
polynomial,,,,
polynomial ring,0.9026301340719477,0.9399963912377596,7.187499999999999,2.34375
polynomials,,,,
Pontryagin dual,0.9500731943039685,0.9559472970288885,70.625,29.6875
poset,,,,
positive definite,0.9446825308210723,0.9680093274142744,62.18749999999999,78.28125
positive variation,0.9395046778977698,0.9463993239986745,50.9375,9.0625
power series,0.8964002320347427,0.9543358303145193,3.5937499999999996,25.0
power set,0.9071377513505752,0.963469178640803,10.3125,62.5
pre-measure,,,,
preimage,,,,
prime,,,,
prime element,0.922726701009865,0.9596516025359825,26.406249999999996,42.5
prime element of an integral domain,0.9625471278585067,0.9598369628790991,86.875,44.0625
prime ideal,0.8998248707454723,0.9498165108298946,5.15625,13.593749999999998
prime number,0.916748233273204,0.9751470444535492,19.6875,92.03125
prime subfield,0.9404039170404896,0.9584844169362975,53.28125,39.0625
primitive,,,,
primitive root of unity,0.9513968374688457,0.9753395532521959,73.75,92.1875
principal,,,,
principal ideal,0.8794596813354261,0.9451998593177224,1.40625,7.187499999999999
principal ideal domain,0.9436181105409267,0.956175488633478,60.3125,31.25
principal part,0.9081054249374874,0.9728825390499084,10.78125,88.125
product,,,,
product measure,0.9177185473895214,0.9516774231926095,20.46875,17.96875
product of ring ideals,0.9485501544623488,0.9604580638752576,68.125,47.03125
product rule,0.8999554410876285,0.9542481452186383,5.3125,24.53125
product topology,0.9043068912042347,0.9475226195904546,8.59375,10.78125
products,,,,
projection,,,,
proper classes,0.9120073840820543,0.959108371853985,15.78125,41.09375
proper proper,0.9823297964762765,0.9951538905426809,98.28125,99.6875
proper ring ideal,0.9567968120348367,0.9672791712608206,80.9375,76.09375
pullback,,,,
pure tensors,0.9268433979194818,0.9489276811965333,30.9375,12.5
Qp,,,,
quadratic field extension,0.9392077959655645,0.9456906948851771,50.625,7.968749999999999
quadratic integers,0.9548434803584441,0.957173104295883,78.59375,34.53125
quaternion algebra,0.9195524245966065,0.9467539403924168,22.65625,9.6875
quotient,,,,
quotient by,0.9508353851277278,0.9698441666723794,72.65625,82.03125
quotient by equivalence relation,0.9800011244825688,0.9778705997495846,97.34375,95.3125
quotient by normal quotient,0.9806637881927387,0.9864192890424165,97.5,98.75
quotient by normal quotients,0.981254341099399,0.9828160901710812,97.8125,98.125
quotient by normal subgroup,0.9596525847939126,0.9666204734948898,83.59375,73.59375
quotient by subgroup,0.9497730279717107,0.9611106657308423,70.3125,50.625
quotient of Lie algebra by ideal,0.9654604698422363,0.9642197547173961,89.6875,65.625
quotient of modules,0.9365593393091216,0.96621470252179,46.09375,72.65625
quotient of topological spaces,0.9730623719741942,0.9776185647241697,95.3125,95.0
quotient ring,0.9037595847099105,0.9550918930797546,8.28125,26.5625
quotient vector space,0.9414365391838128,0.9560001811355018,55.15624999999999,30.312499999999996
quotients,,,,
radical,,,,
radical of a Lie algebra,0.9422335207298246,0.9620492669253363,57.03125,56.09375
radius of convergence,0.9252392882246516,0.944841351362264,28.4375,6.5625
Radon measure,0.932412912845674,0.9597246978880347,39.53125,43.28125
Radon-Nikodym derivative,0.9343902367733347,0.9550078571688181,42.5,26.406249999999996
rank,,,,
rank of a finitely generated abelian group,0.9825303802366945,0.9809563819628128,98.4375,97.03125
rank of a module,0.9147976351443569,0.9454082554970573,18.125,7.656250000000001
real,,,,
real number,0.9145520135937478,0.9775767043647889,17.8125,94.84375
real numbers,0.9206121381904608,0.9778388697845535,23.90625,95.15625
real projective space,0.9585078375029956,0.9719270892435556,82.96875,86.40625
real symplectic group,0.9514963876801531,0.9627281945118383,74.0625,58.28124999999999
rectangle,,,,
rectangles,,,,
rectifiable,,,,
reduced,,,,
reduced edge path,0.9631626411049906,0.969878321738159,87.65625,82.34375
reflexive,,,,
regular,,,,
regular family,0.9166904452130824,0.963285677294655,19.53125,61.40624999999999
representation,,,,
representations,,,,
residual,,,,
residue,,,,
restriction,,,,
Riemann integrable,0.9494107428032885,0.9656739602419503,69.53125,70.625
Riemann's theorem on removable singularities,0.9809833396447679,0.968542907388597,97.65625,79.375
right,,,,
right algebra ideal,0.9595914359929915,0.9628012770946256,83.4375,59.21875
right coset,0.9183242242564172,0.9570822257279177,20.78125,34.0625
right cosets,0.9254960682985932,0.9533463737691187,28.749999999999996,21.5625
right ideal,0.9401515336736483,0.9615236527183133,52.1875,53.125
right identity,0.9183558580451014,0.9610637590589137,21.09375,50.31250000000001
right identity element,0.9525528573780462,0.9619938046463994,75.9375,55.625
right inverse element,0.9604105495214343,0.9647613484237328,84.53125,67.8125
right ring ideal,0.9575991334863654,0.9670683333069754,81.875,75.15625
ring,,,,
ring homomorphism,0.9350287519820908,0.9607856380751773,43.75,48.59375
ring ideal,0.9119530887342954,0.9522213699095095,15.46875,19.0625
ring ideals,0.9129426087720474,0.9588932628866889,16.40625,40.46875
ring norm,0.8896482240621697,0.9306435622634858,2.1875,0.46875
ring of subsets,0.9291201054026758,0.9615868205553665,33.90625,53.75
rings,,,,
rng,,,,
root of unity,0.9267729731798517,0.9610651196798321,30.78125,50.46874999999999
roots,,,,
roots of unity,0.9345711239089266,0.9626009647444738,43.125,57.96875
row operation,0.9161387346053078,0.9467460058681099,19.0625,9.53125
row operations,0.9206111006019809,0.9491375508066497,23.75,12.968750000000002
rule of product,0.9234887878224992,0.9583738474514724,27.500000000000004,38.59375
rule of sum,0.9156994683475506,0.9424516221124184,18.59375,3.75
Schur polynomials,0.9319616700477313,0.9526686973623701,38.75,20.15625
Schwartz space,0.9220731450084084,0.9494446124582646,25.3125,13.4375
second-countable,,,,
self-adjoint,,,,
semi-locally simply connected,0.9644408737659892,0.9735917061243423,89.375,89.53125
semidirect product,0.9433540074790017,0.967641146265992,59.84374999999999,77.1875
semigroup,,,,
semigroups,,,,
semisimple,,,,
semisimple Lie algebra,0.9543941116704687,0.9667661062590435,77.8125,74.21875
semisimple module,0.948510330380778,0.9599583288265271,67.96875,44.53125
semisimple representation of a Lie algebra,0.9726885198703499,0.976593890688647,95.0,93.75
separable,,,,
separable field,0.9380653779164928,0.9696018555635982,48.59375,81.5625
separable metric space,0.9702260682408244,0.9820189062026274,92.34375,97.8125
separable polynomial,0.932447364154358,0.9462613610969758,39.6875,8.59375
sequence convergence,0.9374932674262599,0.9561040896828635,47.8125,30.78125
sequentially compact,0.9417713912545491,0.9603178193998818,56.40625,46.25
series converges,0.9453406701660609,0.9620525396967163,63.28125,56.25
set,,,,
sign homomorphism,0.9328626721034314,0.9504788370437215,40.3125,15.312500000000002
sign of permutation,0.9346296570330618,0.9506998385086274,43.4375,16.40625
sign representation,0.9090481233501665,0.9617585677465175,11.875,54.21875000000001
signed measure,0.9294328394774276,0.9531455058956413,34.0625,21.25
simple,,,,
simple field extension,0.9544058501457756,0.9674146843094282,77.96875,76.40625
simple function,0.9449082954929515,0.973109777568431,62.65625,89.0625
simple functions,0.9396671855518068,0.9696811844363017,51.09375000000001,81.875
simple group,0.9104748959732996,0.961387051340492,13.4375,52.34375
simple Lie algebra,0.9568565139433443,0.9613569694395442,81.25,51.87500000000001
simple module,0.947540839604697,0.9642196388888385,66.875,65.46875
simple region,0.9137453100282844,0.9666907907561029,17.1875,73.90625
simply connected,0.9275153359373192,0.9710752381011307,31.71875,84.84375
singular measure,0.8582447444811901,0.9357097043356488,0.3125,1.09375
size,,,,
skeleton of a category,0.9389499723884813,0.9586422602930165,50.46874999999999,39.6875
skew-symmetric,,,,
small category,0.9277563975094894,0.969865383945987,32.1875,82.1875
smooth,,,,
smooth topological m-dimensional manifold with boundary,0.985360583179561,0.982677792637143,99.375,97.96875
solvability by radicals,0.9317184601684005,0.9537525834960145,37.8125,22.96875
solvable,,,,
solvable group,0.913214140788399,0.9594728063820482,16.5625,41.71875
solvable Lie algebra,0.9421623723323066,0.9565018830083972,56.71874999999999,32.34375
space,,,,
span,,,,
spanned,,,,
special linear algebra,0.9189136468656031,0.9565785289495249,21.71875,32.65625
special linear group,0.9402304243714885,0.9515484922470436,52.65625000000001,17.34375
special orthogonal group,0.9523605739426374,0.9591360310139082,75.625,41.25
special unitary group,0.9496114290100386,0.9656732562511623,70.15625,70.46875
spectrum,,,,
splitting field,0.9193933351498917,0.9561621334566759,22.34375,30.9375
stabilizer under group action,0.9578165466281138,0.9613018972796228,82.03125,51.71875
stabilizer under stabilizer,0.9725019851350881,0.9886961067685458,94.375,99.0625
standard n-simplex,0.9710006228379622,0.9732050105897321,93.28125,89.21875
Stirling numbers of the second kind,0.9793633206306444,0.9814677577671087,97.1875,97.5
strategies,,,,
strategy profiles,0.9232766706123949,0.9635519632915687,27.34375,63.125
strong differential basis,0.9358067675376651,0.9628112830503,45.46875,59.375
structure constants,0.9107430509390221,0.9489130703975099,13.750000000000002,12.34375
sub-representations,,,,
subalgebra,,,,
subalgebras,,,,
subbasis,,,,
subcategory,,,,
subfield,,,,
subgraph,,,,
subgroup,,,,
subgroups,,,,
subinterval,,,,
subintervals,,,,
submodule,,,,
submodules,,,,
subnormal series,0.9458267130562679,0.9581389845025838,64.6875,38.125
subrectangle,,,,
subrepresentation,,,,
subrepresentations,,,,
subspace,,,,
subspace topology,0.9477091299329714,0.9576216131926056,67.1875,36.09375
subtree,,,,
sum,,,,
sum of modules,0.9269280891732689,0.9631693725414966,31.25,60.62499999999999
sum of ring ideals,0.9547340549426687,0.9728514450720718,78.4375,87.96875
support,,,,
supremum,,,,
surface,,,,
surjective,,,,
Sylow p-subgroup,0.9600703051448342,0.9677949816026418,84.21875,77.65625
symmetric,,,,
symmetric derivative,0.913563663505554,0.9412366825162966,16.71875,3.125
symmetric difference,0.934422934625343,0.955663406992258,42.65625,28.4375
symmetric differential basis,0.949376315745343,0.9565866455210713,69.375,32.8125
symmetric group,0.9170313528834303,0.9656237226981409,20.0,70.15625
symmetric polynomials,0.9416998241239839,0.9590310325952964,55.93749999999999,40.78125
symmetric power of group representations,0.9723017738050317,0.9721735642415518,94.21875,86.71875
symmetric power of vector spaces,0.9657046950811001,0.973517551759026,89.84375,89.375
symplectic algebra,0.9091506126095846,0.9595490758546545,12.34375,41.875
T0 space,0.9330391983565202,0.9558156251176178,40.9375,29.062500000000004
T1 space,0.9327833523616647,0.9543078077992605,40.0,24.84375
tangent space,0.9034779188535625,0.9544911178041066,7.8125,25.624999999999996
tangent vector,0.9358008990290427,0.9484083594212587,45.3125,11.40625
tensor,,,,
tensor product,0.8958391142582786,0.9437852754484335,3.4375000000000004,4.84375
tensor product of group representations,0.971947217574164,0.9724558144070253,93.90625,87.34375
tensor product of Lie algebra representations,0.9814075559052651,0.9816678351976078,98.125,97.65625
tensor product of vector spaces,0.9612405533908375,0.9757749175689158,85.46875,92.5
That is,0.9163499000717334,0.9747390747411531,19.21875,91.5625
topological,,,,
topological basis,0.9337524649710084,0.964779505844037,41.875,67.96875
topological field,0.8968117187864617,0.9623704206125024,3.90625,57.49999999999999
topological game,0.9081283899378012,0.9508977234186626,10.9375,16.71875
topological group,0.9030184751342241,0.9646836432077579,7.5,67.03125
topological m-dimensional manifold with boundary,0.9792538510434794,0.9843768212271106,97.03125,98.28125
topological ring,0.8758469274570989,0.9441307419295998,1.09375,5.46875
topological space,0.9439231618113462,0.9775079437336518,61.25000000000001,94.6875
topological spaces,0.9519676695257563,0.9811340439538279,75.0,97.1875
topology,,,,
topology of the union,0.9437010748820499,0.9630665276540211,60.62499999999999,60.0
torsion,,,,
torsion free module,0.9629300346324421,0.9527591672663287,87.34375,20.3125
torsion subgroup,0.9305015654881996,0.9490980265393432,35.625,12.812499999999998
torus,,,,
total derivative,0.9108712310446705,0.9503064051796916,14.0625,15.0
total variation,0.9426910648289908,0.9585727070134666,57.8125,39.21875
totally bounded,0.949507263113901,0.9646010197625338,69.84375,66.5625
totally disconnected,0.907399603393357,0.9602741322366668,10.46875,45.46875
trace,,,,
transcendental,,,,
transition function,0.8992626704426876,0.9441485062960557,4.6875,5.625
transitive,,,,
transitive group action,0.9544343627739074,0.9664295461240117,78.125,73.4375
transitive transitive,0.9760484388951148,0.9914036583286572,96.40625,99.375
transpose,,,,
transposes,,,,
transposition,,,,
tree,,,,
triangle inequality,0.9015820652707612,0.9339847030030061,6.71875,0.9375
trivial,,,,
trivial group representation,0.9439122621920534,0.9602514220420449,61.09375,45.3125
truth function,0.866095709282538,0.939963616866869,0.46875,2.1875
typical,,,,
uncountable,,,,
underlying set,0.908584892612425,0.9648891527686906,11.25,68.4375
uniformly continuous,0.9618376175315608,0.9674436292786424,86.25,76.5625
unique,,,,
unique factorization domain,0.9754228106524964,0.9739359486951615,95.78125,90.3125
unit,,,,
unit of a ring,0.9328921117686267,0.9632774133075248,40.46875,61.25000000000001
unital subring,0.9511523887339637,0.9596811506012439,73.4375,42.96875
unitary,,,,
unitary group,0.9296375691027983,0.9684467963816135,34.53125,78.75
unitary group representation,0.9501347299341507,0.9648404550330955,70.78125,68.28125
unitary matrix,0.9502048497243134,0.9637736715645524,70.9375,63.90625
unitary transformation,0.9367833460690336,0.9614419276634516,46.40625,52.65625000000001
units,,,,
upper bound,0.8999663645768778,0.9437118680311603,5.46875,4.53125
upper bounds,0.9407402391622341,0.953430967083393,53.75,21.71875
upper central series,0.9517684415860497,0.9593170220883921,74.53125,41.5625
upper integral,0.9060021896518613,0.9373311726902804,9.53125,1.875
upper sum,0.9253816222477241,0.9588409863979968,28.59375,39.84375
Vandermonde determinant,0.9315434138846974,0.9538075074432245,37.34375,23.125
vector space,0.8721520103187057,0.9506382797067141,0.78125,15.937499999999998
vector space direct sum,0.9517272631477265,0.9559175492627902,74.21875,29.531249999999996
vector spaces,0.906958775675851,0.9556646676876559,9.84375,28.59375
vector subspace,0.9383064066128884,0.9499767629939729,49.0625,13.90625
vectors,,,,
Vitali covering,0.9601889410583692,0.962202213567049,84.375,56.875
vol,,,,
volume,,,,
volume of a rectifiable set,0.9532905401782377,0.9761788980360786,77.03125,93.125
volume of compact topological space,0.988334808441728,0.992034277855976,99.53125,99.53125
volumes,,,,
weak convergence,0.8910421979244199,0.9462633990956645,2.5,8.75
weak Hausdorff,0.923171975956215,0.9603168498034169,27.03125,46.09375
wedge sum,0.9357914941876031,0.9611458037591157,45.15625,50.9375
well-defined,,,,
well-ordering,,,,
Weyl group,0.9314119086592345,0.9559516507095478,36.875,30.0
width,,,,
winding number,0.9165087289354946,0.9538896545454107,19.375,23.28125
winning strategy,0.9512374951896237,0.969254155059887,73.59375,80.9375
Young subgroup,0.9325236709085863,0.9663721803642623,39.84375,73.125
zero divisor,0.9384921203925032,0.9677841101779893,49.375,77.5
zero divisors,0.9428853758699343,0.9708932086559234,58.4375,84.21875
σ-additive,,,,
σ-algebra,,,,
σ-algebra generated,0.9417483371790686,0.9579970985577875,56.25,37.34375
σ-finite,,,,
∆-complex,,,,
